Features,p-value
X3937294_LOC150197,2.37634433523165e-5
X2947877_UBD,1.5472913244283e-4
X3925473_SAMSN1,1.69748009516866e-4
X2452311_TMEM81,3.27310206984939e-4
X2638988_PARP15,4.80558802002618e-4
X2492783_THNSL2,5.85694463138021e-4
X3069082_TFEC,6.66248097884696e-4
X2382898_LBR,7.34947970200819e-4
X3672528_,7.43996137059705e-4
X2940202_F13A1,8.68396471665161e-4
X3617712_GJD2,9.82660167858913e-4
X3257268_IFIT5,0.00119090370158333
X2497119_IL18R1,0.00120131513131234
X2783916_TNIP3,0.00124166756202561
X3420442_IRAK3,0.00124767145591196
X2891241_DUSP22,0.00127618041210905
X2693332_ALG1L,0.00129245176210241
X2773958_CXCL10,0.00132646206487083
X3167553_IL11RA,0.00144022271264275
X3735089_LOC643008,0.00152961392051666
X3210108_C9orf40,0.00157205038024653
X2670975_CYP8B1,0.00158136975134338
X2421995_GBP4,0.00162036869330665
X2688605_GCET2,0.00164636628629466
X3900833_FOXA2,0.001764805124445
X2947948_SUMO2,0.0018310683685313
X3454006_FMNL3,0.00207065994737376
X2732508_CXCL13,0.00217413154405004
X2704143_WDR49,0.00219546761801488
X2523855_CTLA4,0.00221704461018832
X3922793_PDE9A,0.00244204881611984
X3531163_COCH,0.00247451251534957
X3104489_STMN2,0.0025344597741939
X3318890_ILK,0.00268779451563756
X3029434_OR2F2,0.0027365198420267
X2840238_C5orf58,0.00275248123506086
X2783099_TRAM1L1,0.0028813292031265
X2875348_IRF1,0.00289658000876497
X3656800_ZNF646,0.00301206364924332
X2453881_IRF6,0.00308539614446383
X3358897_KRTAP5.2,0.00312757913489093
X2523874_ICOS,0.00318038201003184
X2434746_FAM63A,0.00320781848658852
X3872560_ZNF256,0.00335938095830899
X3843275_ZNF419,0.00337275273610004
X2717091_CNO,0.00340600590651789
X3487824_SERP2,0.00350999052260307
X3108526_MATN2,0.00360233153785065
X3916290_FLJ42200,0.00362879656821584
X3835565_ZNF233,0.00369620634170149
X3635903_LOC388152,0.00380119922680347
X2964052_SFRS13B,0.00382786148666439
X3651057_C16orf62,0.00382936511566291
X3870195_ZNF677,0.00382949962560828
X3919860_DOPEY2,0.00394931731896846
X2698996_PCOLCE2,0.00400552503979946
X2982630_LPAL2,0.00402279962915351
X3514639_DHRS12,0.00402419076298814
X2810015_DDX4,0.00411772766893551
X3577246_MOAP1,0.00416907346053872
X2869096_SLCO4C1,0.00428965053905508
X2917951_FHL5,0.00433042231540122
X3792656_CCDC102B,0.00445203170092818
X3318731_DNHD1,0.00447008302596435
X2678400_ACOX2,0.00454459529906023
X3445028_GPR19,0.00459293967346018
X2402493_PAFAH2,0.00461375563815044
X4030259_TMSB4Y,0.0046508436059014
X3218151_GRIN3A,0.00466701184150539
X2487063_GKN1,0.00467566848614741
X2324084_CDA,0.00474021994958998
X2570291_NCRNA00116,0.00477141843161524
X3454157_FAIM2,0.00479120735192509
X3203569_AQP3,0.00486540705605877
X2815424_FUNDC2,0.00487025622606719
X2773387_CXCL3,0.0049383832997955
X2372719_RGS18,0.00495230750652005
X3413787_TUBA1C,0.00501625759837888
X2373842_PTPRC,0.00508460662620259
X3056320_WBSCR27,0.0051476505742975
X2652669_,0.0051528538365565
X3201199_IFNA7,0.00518348772190436
X3912079_SYCP2,0.00518385802005046
X2737596_BANK1,0.00525489297510861
X3555590_OR6S1,0.00528775963021678
X2773972_CXCL11,0.00529796752502679
X3598758_SMAD6,0.00532508130839955
X3841231_PRPF31,0.0053368633281829
X3373383_OR5T2,0.00561113901882644
X2439554_AIM2,0.00562033399972457
